,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,score,product
1258,0,1,0,0,1,0,0,1,0,2,2,Leaf
1259,0,1,0,0,1,0,0,1,0,2,2,Leaf
1260,0,1,0,0,2,0,1,0,0,2,2,Leaf
1261,0,1,0,0,2,0,0,2,0,4,4,Leaf
1262,0,0,0,1,2,2,1,2,3,5,2,Leaf
1263,0,3,0,0,4,0,1,2,1,6,5,Leaf
1264,0,2,0,0,2,1,1,3,1,4,3,Leaf
1265,0,0,0,0,1,0,0,0,0,1,1,Leaf
1266,0,0,0,0,1,0,0,0,0,1,1,Leaf
1267,0,1,0,0,2,0,0,2,1,5,4,Leaf
1268,1,1,0,1,0,0,0,4,2,1,-1,Leaf
1269,0,0,0,0,1,0,0,0,0,1,1,Leaf
1270,0,0,0,0,2,0,0,1,0,3,3,Leaf
1271,0,0,0,0,0,0,0,0,0,1,1,Leaf
1272,1,4,2,0,5,0,3,5,2,7,5,Leaf
1273,2,5,0,1,3,2,1,4,2,5,3,Leaf
1274,0,1,0,0,1,0,0,1,0,2,2,Leaf
1275,0,2,0,0,3,0,2,2,0,3,3,Leaf
1276,1,0,1,1,3,1,1,2,3,5,2,Leaf
1277,1,2,1,1,2,1,1,2,1,3,2,Leaf
1278,1,0,1,1,1,1,0,0,2,4,2,Leaf
1279,0,1,0,0,1,0,0,2,0,3,3,Leaf
1280,0,1,0,0,2,1,1,1,1,2,1,Leaf
1281,0,0,0,0,0,0,0,2,0,2,2,Leaf
1282,0,1,0,0,2,0,1,2,0,3,3,Leaf
1283,0,0,0,0,2,0,0,1,1,3,2,Leaf
1284,0,1,0,0,2,0,1,2,1,3,2,Leaf
1285,0,0,0,1,0,1,1,2,2,4,2,Leaf
1286,0,2,1,0,1,1,1,0,0,2,2,Leaf
1287,0,1,0,0,3,0,0,1,0,3,3,Leaf
1288,0,1,0,1,3,1,1,2,2,3,1,Leaf
1289,1,1,0,1,3,2,1,3,2,4,2,Leaf
1290,0,1,0,0,0,0,0,0,0,0,0,Leaf
1291,0,0,0,0,4,0,1,3,0,4,4,Leaf
1292,0,3,0,1,3,1,3,3,1,7,6,Leaf
1293,0,1,0,0,2,0,0,2,0,4,4,Leaf
1294,0,0,0,0,1,0,0,0,1,1,0,Leaf
1295,0,0,0,0,1,0,0,1,0,3,3,Leaf
1296,0,1,0,0,1,0,0,3,1,3,2,Leaf
1297,0,0,0,0,1,0,0,0,0,1,1,Leaf
1298,0,1,0,0,2,0,1,1,0,2,2,Leaf
1299,0,2,0,1,1,0,0,1,1,1,0,Leaf
1300,0,4,0,0,4,0,0,4,0,6,6,Leaf
1301,0,2,0,0,1,0,0,1,0,1,1,Leaf
1302,0,1,0,0,1,0,0,0,0,1,1,Leaf
1303,0,2,0,0,2,0,0,1,2,2,0,Leaf
1304,0,0,0,0,1,0,0,2,1,1,0,Leaf
1305,0,0,0,0,3,0,1,3,2,4,2,Leaf
1306,0,0,0,0,1,0,0,0,0,1,1,Leaf
1307,0,2,0,0,2,0,0,2,1,2,1,Leaf
1308,0,1,0,2,2,0,1,2,2,3,1,Leaf
1309,0,1,0,0,2,0,1,1,0,4,4,Leaf
1310,1,1,0,0,1,1,0,1,3,1,-2,Leaf
1311,0,1,0,1,5,1,1,4,2,9,7,Leaf
1312,0,0,0,1,0,2,1,0,2,0,-2,Leaf
1313,0,1,0,0,2,0,1,3,1,3,2,Leaf
1314,1,1,1,1,0,3,0,1,4,1,-3,Leaf
1315,0,1,0,0,0,1,0,1,3,1,-2,Leaf
1316,0,1,0,0,0,0,0,0,0,1,1,Leaf
1317,0,1,0,0,1,1,0,2,1,4,3,Leaf
1318,0,1,0,1,2,0,0,5,2,4,2,Leaf
1319,0,1,0,0,1,0,0,0,0,1,1,Leaf
1320,0,0,2,1,0,1,1,1,3,3,0,Leaf
1321,1,2,0,1,2,0,0,1,1,3,2,Leaf
1322,0,0,0,0,0,0,0,0,0,1,1,Leaf
1323,0,0,0,1,1,0,0,0,0,3,3,Leaf
1324,0,0,0,0,1,0,0,2,0,2,2,Leaf
1325,0,0,0,0,0,0,1,0,0,0,0,Leaf
1326,0,1,0,0,1,0,0,2,1,3,2,Leaf
1327,0,1,1,0,1,0,0,1,2,1,-1,Leaf
1328,1,3,1,1,2,1,2,1,1,3,2,Leaf
1329,0,0,0,0,0,0,0,0,0,0,0,Leaf
1330,0,0,0,0,1,0,0,1,0,2,2,Leaf
1331,0,0,0,1,1,0,1,2,2,2,0,Leaf
1332,0,1,0,1,0,0,1,0,1,4,3,Leaf
1333,0,0,0,0,1,0,0,1,1,1,0,Leaf
1334,0,3,0,1,3,1,1,4,2,4,2,Leaf
1335,0,0,0,1,0,0,0,1,1,4,3,Leaf
1336,0,1,0,0,1,0,0,0,1,1,0,Leaf
1337,0,4,0,0,5,1,3,5,2,8,6,Leaf
1338,0,0,0,0,2,0,0,2,2,5,3,Leaf
1339,2,3,0,1,4,0,0,3,3,5,2,Leaf
1340,0,1,0,0,2,0,0,1,2,2,0,Leaf
1341,0,2,0,0,3,0,2,6,2,5,3,Leaf
1342,0,4,0,0,2,0,1,3,3,3,0,Leaf
1343,0,0,0,0,0,0,0,2,1,1,0,Leaf
1344,0,1,0,0,2,0,0,1,0,2,2,Leaf
1345,1,1,1,0,0,2,0,3,3,3,0,Leaf
1346,0,1,0,0,1,0,0,4,1,3,2,Leaf
1347,0,2,0,0,1,1,0,2,2,3,1,Leaf
1348,0,0,0,0,0,0,0,0,0,0,0,Leaf
1349,0,1,0,1,0,1,0,1,1,0,-1,Leaf
1350,0,0,0,0,1,0,0,0,0,1,1,Leaf
1351,0,2,0,0,3,0,0,2,0,6,6,Leaf
1352,1,1,0,0,2,0,0,4,1,7,6,Leaf
1353,0,0,0,0,2,0,0,0,0,2,2,Leaf
1354,0,2,0,1,1,2,0,0,4,1,-3,Leaf
1355,0,1,0,0,0,0,0,3,1,4,3,Leaf
1356,0,0,0,0,1,0,0,0,0,1,1,Leaf
1357,1,0,1,0,0,1,0,1,1,1,0,Leaf
1358,2,1,0,1,1,0,1,3,1,4,3,Leaf
1359,0,0,0,0,1,0,0,0,0,1,1,Leaf
1360,0,1,0,0,1,0,1,0,0,3,3,Leaf
1361,0,3,0,2,4,1,1,3,1,5,4,Leaf
1362,0,0,0,0,1,0,0,0,0,2,2,Leaf
1363,0,2,0,0,2,0,1,3,0,2,2,Leaf
1364,0,0,0,0,2,0,0,2,1,2,1,Leaf
1365,0,0,0,0,1,0,0,0,0,2,2,Leaf
1366,0,1,0,0,2,0,1,2,1,2,1,Leaf
1367,0,0,0,0,1,0,0,0,0,2,2,Leaf
1368,0,2,0,0,2,0,0,1,0,2,2,Leaf
1369,0,1,0,0,0,0,0,0,0,0,0,Leaf
1370,0,0,1,0,1,1,0,1,1,3,2,Leaf
1371,0,1,0,0,1,0,0,0,0,1,1,Leaf
1372,0,0,0,0,1,0,0,0,0,2,2,Leaf
1373,0,2,0,0,1,0,0,1,0,1,1,Leaf
1374,1,0,0,0,0,0,0,2,1,3,2,Leaf
1375,0,1,0,1,0,0,1,1,1,3,2,Leaf
1376,0,2,0,0,2,0,1,3,1,2,1,Leaf
1377,0,0,0,0,2,0,0,1,0,2,2,Leaf
1378,0,2,0,0,2,2,2,2,2,7,5,Leaf
1379,0,0,0,0,0,0,0,0,0,0,0,Leaf
1380,0,1,0,0,2,0,0,4,1,4,3,Leaf
1381,0,1,0,0,2,0,0,1,0,3,3,Leaf
1382,0,1,1,0,1,0,1,3,2,1,-1,Leaf
1383,0,0,0,0,1,0,1,1,1,1,0,Leaf
1384,0,0,0,0,1,0,0,1,0,2,2,Leaf
1385,0,1,0,0,1,1,2,0,1,3,2,Leaf
1386,0,0,0,0,0,0,0,0,0,0,0,Leaf
1387,1,3,1,1,3,1,2,3,1,4,3,Leaf
1388,0,0,0,0,3,0,0,3,2,6,4,Leaf
1389,0,1,0,1,0,0,1,0,2,0,-2,Leaf
1390,0,1,0,0,2,0,0,2,1,3,2,Leaf
1391,0,1,0,0,4,0,1,5,1,5,4,Leaf
1392,0,0,0,0,1,0,0,1,0,2,2,Leaf
1393,0,2,0,1,1,1,1,1,1,3,2,Leaf
1394,0,1,1,1,2,0,1,3,2,4,2,Leaf
1395,0,0,0,0,1,0,0,0,0,1,1,Leaf
1396,0,0,0,1,3,0,1,2,1,3,2,Leaf
1397,0,0,0,0,0,0,0,2,2,0,-2,Leaf
1398,0,0,0,0,1,0,0,0,0,1,1,Leaf
1399,0,0,0,0,1,0,0,0,0,1,1,Leaf
1400,0,0,0,0,1,0,0,0,0,2,2,Leaf
1401,0,0,0,1,1,0,1,0,1,1,0,Leaf
1402,0,0,0,0,1,0,0,0,0,1,1,Leaf
1403,0,1,0,0,3,0,0,2,1,3,2,Leaf
1404,1,3,0,0,4,1,1,3,1,7,6,Leaf
1405,1,1,0,0,0,0,0,1,3,2,-1,Leaf
1406,0,0,0,0,0,1,0,1,2,0,-2,Leaf
1407,1,1,0,2,1,1,2,0,2,2,0,Leaf
1408,0,1,0,0,1,0,0,0,0,1,1,Leaf
1409,1,3,1,2,2,0,2,5,1,5,4,Leaf
1410,0,1,0,0,1,0,0,1,0,1,1,Leaf
1411,0,4,0,0,4,0,0,3,0,4,4,Leaf
1412,0,1,0,1,1,1,0,0,1,1,0,Leaf
1413,0,0,0,0,1,0,0,1,0,3,3,Leaf
1414,0,0,0,0,1,0,0,0,0,2,2,Leaf
1415,1,0,0,0,1,0,0,0,2,2,0,Leaf
1416,0,1,0,0,1,0,1,0,0,1,1,Leaf
1417,1,0,2,0,2,4,0,0,3,3,0,Leaf
1418,0,2,0,0,1,0,1,2,0,1,1,Leaf
1419,0,2,0,0,1,0,1,0,0,2,2,Leaf
1420,0,2,0,0,2,0,0,4,2,4,2,Leaf
1421,1,2,0,0,2,0,1,2,0,6,6,Leaf
1422,0,1,0,0,0,0,0,1,0,1,1,Leaf
1423,0,0,0,0,1,0,0,3,1,2,1,Leaf
1424,0,1,1,1,4,1,1,3,2,4,2,Leaf
1425,0,3,0,1,2,0,1,3,2,2,0,Leaf
1426,0,2,0,0,1,0,0,0,0,1,1,Leaf
1427,0,2,0,0,3,0,1,2,0,5,5,Leaf
1428,0,0,0,0,3,0,0,2,0,6,6,Leaf
1429,0,1,0,0,1,0,0,0,0,1,1,Leaf
1430,1,0,1,0,2,0,0,0,2,2,0,Leaf
1431,1,0,1,0,0,0,0,0,2,0,-2,Leaf
1432,0,1,0,0,2,0,0,1,0,3,3,Leaf
1433,0,0,0,0,1,0,0,0,0,1,1,Leaf
1434,0,1,0,0,2,0,0,0,0,2,2,Leaf
1435,0,0,0,0,1,0,0,0,0,2,2,Leaf
1436,0,1,0,0,1,0,0,2,1,4,3,Leaf
1437,1,1,1,2,1,0,1,1,2,1,-1,Leaf
